date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:41:24	141009/141009	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2021%20Jun%202024%2014:41:10%20GMT	https://web.archive.org/web/20190228222916/https://tankisport.com/article/69	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916/https_/tankisport.com/article/69	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:26	141010/141010	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2021%20Jun%202024%2014:41:12%20GMT	https://web.archive.org/web/20190228222916/https://tankisport.com/article/59	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916/https_/tankisport.com/article/59	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:26	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Jun%202024%2014:41:13%20GMT	https://web.archive.org/web/20190228222916im_/https://tankionline.com/ru/wp-content/uploads/2018/07/TANDEM_news_forum_vk_fb_canyon.jpg	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916im_/https_/tankionline.com/ru/wp-content/uploads/2018/07/TANDEM_news_forum_vk_fb_canyon.jpg	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:27	225385/225385	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jun%202024%2014:41:13%20GMT	https://web.archive.org/web/20190301110927im_/https://tankionline.com/ru/wp-content/uploads/2018/07/TANDEM_news_forum_vk_fb_canyon.jpg	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190301110927im_/https_/tankionline.com/ru/wp-content/uploads/2018/07/TANDEM_news_forum_vk_fb_canyon.jpg	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:27	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Jun%202024%2014:41:14%20GMT	https://web.archive.org/web/20190228222916/https://tankionline.com/ru/wp-content/uploads/2018/07/TANDEM_news_forum_vk_fb_canyon.jpg	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916/https_/tankionline.com/ru/wp-content/uploads/2018/07/TANDEM_news_forum_vk_fb_canyon.jpg	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:30	225385/225385	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jun%202024%2014:41:16%20GMT	https://web.archive.org/web/20190301110927/https://tankionline.com/ru/wp-content/uploads/2018/07/TANDEM_news_forum_vk_fb_canyon.jpg	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190301110927/https_/tankionline.com/ru/wp-content/uploads/2018/07/TANDEM_news_forum_vk_fb_canyon.jpg	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:31	141009/141009	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2021%20Jun%202024%2014:41:17%20GMT	https://web.archive.org/web/20190228222916/https://tankisport.com/article/44	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916/https_/tankisport.com/article/44	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:32	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Jun%202024%2014:41:19%20GMT	https://web.archive.org/web/20190228222916im_/https://tankisport.com/files/25/SOLO_HAMMER_news_forum_vk_fb_canyon.jpg	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916im_/https_/tankisport.com/files/25/SOLO_HAMMER_news_forum_vk_fb_canyon.jpg	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:34	93381/93381	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jun%202024%2014:41:20%20GMT	https://web.archive.org/web/20190301110918im_/https://tankisport.com/files/25/SOLO_HAMMER_news_forum_vk_fb_canyon.jpg	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190301110918im_/https_/tankisport.com/files/25/SOLO_HAMMER_news_forum_vk_fb_canyon.jpg	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:34	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Jun%202024%2014:41:21%20GMT	https://web.archive.org/web/20190228222916/https://tankisport.com/files/25/SOLO_HAMMER_news_forum_vk_fb_canyon.jpg	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916/https_/tankisport.com/files/25/SOLO_HAMMER_news_forum_vk_fb_canyon.jpg	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:36	93381/93381	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jun%202024%2014:41:23%20GMT	https://web.archive.org/web/20190301110918/https://tankisport.com/files/25/SOLO_HAMMER_news_forum_vk_fb_canyon.jpg	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190301110918/https_/tankisport.com/files/25/SOLO_HAMMER_news_forum_vk_fb_canyon.jpg	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:37	141009/141009	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2021%20Jun%202024%2014:41:23%20GMT	https://web.archive.org/web/20190228222916/https://tankisport.com/article/41	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916/https_/tankisport.com/article/41	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:38	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Jun%202024%2014:41:25%20GMT	https://web.archive.org/web/20190228222916im_/https://tankisport.com/files/25/SOLO_RICOCHET_news_forum_vk_fb_canyon.jpg	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916im_/https_/tankisport.com/files/25/SOLO_RICOCHET_news_forum_vk_fb_canyon.jpg	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:39	94038/94038	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jun%202024%2014:41:25%20GMT	https://web.archive.org/web/20190301110922im_/https://tankisport.com/files/25/SOLO_RICOCHET_news_forum_vk_fb_canyon.jpg	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190301110922im_/https_/tankisport.com/files/25/SOLO_RICOCHET_news_forum_vk_fb_canyon.jpg	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:39	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Jun%202024%2014:41:26%20GMT	https://web.archive.org/web/20190228222916/https://tankisport.com/files/25/SOLO_RICOCHET_news_forum_vk_fb_canyon.jpg	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916/https_/tankisport.com/files/25/SOLO_RICOCHET_news_forum_vk_fb_canyon.jpg	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:44	94038/94038	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jun%202024%2014:41:29%20GMT	https://web.archive.org/web/20190301110922/https://tankisport.com/files/25/SOLO_RICOCHET_news_forum_vk_fb_canyon.jpg	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190301110922/https_/tankisport.com/files/25/SOLO_RICOCHET_news_forum_vk_fb_canyon.jpg	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:45	141012/141012	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2021%20Jun%202024%2014:41:32%20GMT	https://web.archive.org/web/20190228222916/https://tankisport.com/article/38	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916/https_/tankisport.com/article/38	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:49	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Jun%202024%2014:41:36%20GMT	https://web.archive.org/web/20190228222916im_/https://tankisport.com/files/25/SOLO_THUNDER_news_forum_vk_fb_canyon.jpg	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916im_/https_/tankisport.com/files/25/SOLO_THUNDER_news_forum_vk_fb_canyon.jpg	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
